match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target,year
571360,564280,"Basnahira Cricket Dundee v Nagenahira Nagas at Pallekele- Aug 17, 2012",Nagenahira Nagas won by 6 wickets (with 6 balls remaining),Basnahira Cricket Dundee 146 (20/20 ov); Nagenahira Nagas 151/4 (19/20 ov),2012-08-17,Pallekele,,Basnahira Cricket Dundee,Nagenahira Nagas,Nagenahira Nagas,,6.0,6.0,Basnahira Cricket Dundee,146.0,10.0,20.0,20.0,Nagenahira Nagas,151.0,4.0,19.0,20.0,,,2012
571361,564280,"Kandurata Warriors v Uthura Rudras at Pallekele- Aug 18, 2012",Kandurata Warriors won by 32 runs (D/L method),"Kandurata Warriors 168/5 (20/20 ov); Uthura Rudras 105/7 (16/16 ov, target: 138)",2012-08-18,Pallekele,,Kandurata Warriors,Uthura Rudras,Kandurata Warriors,32.0,,,Kandurata Warriors,168.0,5.0,20.0,20.0,Uthura Rudras,105.0,7.0,16.0,16.0,1.0,138.0,2012
571362,564280,"Wayamba United v Basnahira Cricket Dundee at Pallekele- Aug 19, 2012",Wayamba United won by 67 runs,Wayamba United 165/9 (20/20 ov); Basnahira Cricket Dundee 98 (19.1/20 ov),2012-08-19,Pallekele,,Wayamba United,Basnahira Cricket Dundee,Wayamba United,67.0,,,Wayamba United,165.0,9.0,20.0,20.0,Basnahira Cricket Dundee,98.0,10.0,19.1,20.0,,,2012
571363,564280,"Uthura Rudras v Uva Next at Pallekele- Aug 19, 2012",Uva Next won by 4 wickets (with 5 balls remaining),Uthura Rudras 124/8 (20/20 ov); Uva Next 126/6 (19.1/20 ov),2012-08-19,Pallekele,,Uthura Rudras,Uva Next,Uva Next,,4.0,5.0,Uthura Rudras,124.0,8.0,20.0,20.0,Uva Next,126.0,6.0,19.1,20.0,,,2012
571364,564280,"Kandurata Warriors v Ruhuna Royals at Pallekele- Aug 20, 2012",Kandurata Warriors won by 42 runs,Kandurata Warriors 142 (19.2/20 ov); Ruhuna Royals 100 (17.2/20 ov),2012-08-20,Pallekele,,Kandurata Warriors,Ruhuna Royals,Kandurata Warriors,42.0,,,Kandurata Warriors,142.0,10.0,19.2,20.0,Ruhuna Royals,100.0,10.0,17.2,20.0,,,2012
571365,564280,"Nagenahira Nagas v Wayamba United at Pallekele- Aug 20, 2012",Wayamba United won by 56 runs,Wayamba United 190/4 (20/20 ov); Nagenahira Nagas 134 (19.5/20 ov),2012-08-20,Pallekele,,Nagenahira Nagas,Wayamba United,Wayamba United,56.0,,,Wayamba United,190.0,4.0,20.0,20.0,Nagenahira Nagas,134.0,10.0,19.5,20.0,,,2012
571366,564280,"Ruhuna Royals v Uva Next at Pallekele- Aug 21, 2012",Uva Next won by 14 runs,Uva Next 155/6 (20/20 ov); Ruhuna Royals 141/9 (20/20 ov),2012-08-21,Pallekele,,Ruhuna Royals,Uva Next,Uva Next,14.0,,,Uva Next,155.0,6.0,20.0,20.0,Ruhuna Royals,141.0,9.0,20.0,20.0,,,2012
571367,564280,"Uthura Rudras v Basnahira Cricket Dundee at Pallekele- Aug 21, 2012",Uthura Rudras won by 4 wickets (with 4 balls remaining),Basnahira Cricket Dundee 150/6 (20/20 ov); Uthura Rudras 156/6 (19.2/20 ov),2012-08-21,Pallekele,,Uthura Rudras,Basnahira Cricket Dundee,Uthura Rudras,,4.0,4.0,Basnahira Cricket Dundee,150.0,6.0,20.0,20.0,Uthura Rudras,156.0,6.0,19.2,20.0,,,2012
571368,564280,"Wayamba United v Kandurata Warriors at Colombo (RPS)- Aug 24, 2012",Kandurata Warriors won by 2 runs,Kandurata Warriors 149/8 (20/20 ov); Wayamba United 147/6 (20/20 ov),2012-08-24,Colombo (RPS),,Wayamba United,Kandurata Warriors,Kandurata Warriors,2.0,,,Kandurata Warriors,149.0,8.0,20.0,20.0,Wayamba United,147.0,6.0,20.0,20.0,,,2012
571369,564280,"Basnahira Cricket Dundee v Ruhuna Royals at Colombo (RPS)- Aug 25, 2012",Ruhuna Royals won by 4 wickets (with 20 balls remaining),Basnahira Cricket Dundee 123/4 (20/20 ov); Ruhuna Royals 124/6 (16.4/20 ov),2012-08-25,Colombo (RPS),,Basnahira Cricket Dundee,Ruhuna Royals,Ruhuna Royals,,4.0,20.0,Basnahira Cricket Dundee,123.0,4.0,20.0,20.0,Ruhuna Royals,124.0,6.0,16.4,20.0,,,2012
571370,564280,"Kandurata Warriors v Uva Next at Colombo (RPS)- Aug 25, 2012",Match abandoned without a ball bowled,,2012-08-25,Colombo (RPS),,Kandurata Warriors,Uva Next,Match abandoned without a ball bowled,,,,,,,,,,,,,,,,2012
571371,564280,"Nagenahira Nagas v Uthura Rudras at Colombo (RPS)- Aug 26, 2012",Uthura Rudras won by 15 runs,Uthura Rudras 149/6 (20/20 ov); Nagenahira Nagas 134/9 (20/20 ov),2012-08-26,Colombo (RPS),,Nagenahira Nagas,Uthura Rudras,Uthura Rudras,15.0,,,Uthura Rudras,149.0,6.0,20.0,20.0,Nagenahira Nagas,134.0,9.0,20.0,20.0,,,2012
571372,564280,"Ruhuna Royals v Wayamba United at Colombo (RPS)- Aug 26, 2012",Wayamba United won by 14 runs,Wayamba United 162/7 (20/20 ov); Ruhuna Royals 148/9 (20/20 ov),2012-08-26,Colombo (RPS),,Ruhuna Royals,Wayamba United,Wayamba United,14.0,,,Wayamba United,162.0,7.0,20.0,20.0,Ruhuna Royals,148.0,9.0,20.0,20.0,,,2012
571373,564280,"Uva Next v Nagenahira Nagas at Colombo (RPS)- Aug 27, 2012",Nagenahira Nagas won by 6 wickets (with 5 balls remaining),Uva Next 160/7 (20/20 ov); Nagenahira Nagas 163/4 (19.1/20 ov),2012-08-27,Colombo (RPS),,Uva Next,Nagenahira Nagas,Nagenahira Nagas,,6.0,5.0,Uva Next,160.0,7.0,20.0,20.0,Nagenahira Nagas,163.0,4.0,19.1,20.0,,,2012
571374,564280,"1st Semi Final:Wayamba United v Uva Next at Colombo (RPS)- Aug 28, 2012",Uva Next won by 20 runs,Uva Next 171/6 (20/20 ov); Wayamba United 151/8 (20/20 ov),2012-08-28,Colombo (RPS),1st Semi Final,Wayamba United,Uva Next,Uva Next,20.0,,,Uva Next,171.0,6.0,20.0,20.0,Wayamba United,151.0,8.0,20.0,20.0,,,2012
